symbol;quantity;currency;broker
RKLB;100;USD;etoro
PL;650;USD;etoro
VST;20;USD;etoro
ACHR;320;USD;etoro
BKSY;180;USD;etoro
VRT;25;USD;etoro
UEC;370;USD;etoro
GOOG;15;USD;etoro
RDW;150;USD;etoro
IRDM;70;USD;etoro
AIR.PA;0;EUR;Degiro
BAE.L;0;GBP;Degiro
BSD2.DE;0;EUR;Degiro
GLW;75;USD;Degiro
DBK.DE;0;EUR;Degiro
LDO.MIL;0;EUR;Degiro
TLN;9;USD;Degiro
HO.PA;0;EUR;Degiro
TSSI;100;USD;IBKR
BE;140;USD;IBKR
IDR;150;USD;IBKR
ATRO;70;USD;IBKR
GLJ.DE;0;EUR;IBKR
LHX;10;USD;IBKR
CRC;50;USD;IBKR
VOYG;0;USD;IBKR
UAMY;100;USD;IBKR
WLFC;10;USD;IBKR
FTK;100;USD;IBKR
FIG;20;USD;IBKR
