Date;Bullish;Neutral
7-24-87;36,0%;50,0%
7-31-87;26,0%;48,0%
8-7-87;56,0%;15,0%
8-14-87;45,0%;35,0%
8-21-87;66,0%;28,0%
8-28-87;52,0%;18,0%
9-4-87;42,0%;17,0%
9-11-87;50,0%;23,0%
9-18-87;60,0%;29,0%
9-25-87;53,0%;17,0%
10-2-87;44,0%;26,0%
10-9-87;46,0%;39,0%
10-16-87;37,0%;30,0%
10-23-87;39,0%;30,0%
10-30-87;44,0%;23,0%
11-6-87;47,0%;31,0%
11-13-87;31,0%;41,0%
11-20-87;39,0%;42,0%
11-27-87;27,0%;46,0%
12-4-87;25,0%;33,0%
12-11-87;23,0%;45,0%
12-18-87;33,0%;40,0%
12-24-87;28,0%;52,0%
12-31-87;25,0%;49,0%
1-8-88;34,0%;46,0%
1-15-88;34,0%;40,0%
1-22-88;21,0%;48,0%
1-29-88;26,0%;45,0%
2-5-88;32,0%;53,0%
2-12-88;32,0%;46,0%
2-19-88;27,0%;49,0%
2-26-88;30,0%;51,0%
3-4-88;38,0%;40,0%
3-11-88;43,0%;40,0%
3-18-88;41,0%;49,0%
3-25-88;45,0%;38,0%
4-1-88;35,0%;45,0%
4-8-88;33,0%;48,0%
4-15-88;23,0%;53,0%
4-22-88;23,0%;57,0%
4-29-88;22,0%;48,0%
5-6-88;38,0%;42,0%
5-13-88;19,0%;56,0%
5-20-88;23,0%;52,0%
5-27-88;28,0%;52,0%
6-3-88;26,0%;62,0%
6-10-88;28,0%;49,0%
6-17-88;29,0%;50,0%
6-24-88;33,0%;44,0%
7-1-88;45,0%;38,0%
7-8-88;35,0%;50,0%
7-15-88;26,0%;37,0%
7-22-88;16,0%;58,0%
7-29-88;23,0%;54,0%
8-5-88;21,0%;49,0%
8-12-88;26,0%;48,0%
8-19-88;19,0%;53,0%
8-26-88;28,0%;40,0%
9-2-88;18,0%;43,0%
9-9-88;17,0%;52,0%
9-16-88;24,0%;46,0%
9-23-88;20,0%;53,0%
9-30-88;26,0%;44,0%
10-7-88;13,0%;49,0%
10-14-88;22,0%;46,0%
